exp_repl_id,run_id,run_rept_id,task_id,test,action,start_time,stop_time,latency,throughput
1,2,1,61,write,create/open,1562015682.808080,1562015682.817503,0.009422,0.000000
1,2,1,61,write,write/read,1562015682.817503,1562015685.347704,2.530201,13261566.726059
1,2,1,61,write,close,1562015685.347705,1562015685.347713,0.000008,0.000000
1,2,1,61,write,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,61,read,create/open,1562015685.349096,1562015685.389711,0.040615,0.000000
1,2,1,61,read,write/read,1562015685.389712,1562015685.601291,0.211579,158590675.003130
1,2,1,61,read,close,1562015685.601292,1562015686.006062,0.404770,0.000000
1,2,1,61,read,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,61,write,create/open,1562015676.170134,1562015676.377731,0.207597,0.000000
1,4,1,61,write,write/read,1562015676.377732,1562015679.028738,2.651006,12657242.637424
1,4,1,61,write,close,1562015679.028739,1562015679.028763,0.000024,0.000000
1,4,1,61,write,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,61,read,create/open,1562015680.316418,1562015680.336415,0.019997,0.000000
1,4,1,61,read,write/read,1562015680.336416,1562015680.567423,0.231008,145252367.700565
1,4,1,61,read,close,1562015680.567424,1562015680.873430,0.306005,0.000000
1,4,1,61,read,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,61,write,create/open,1562015691.497695,1562015691.505047,0.007352,0.000000
2,2,1,61,write,write/read,1562015691.505047,1562015693.933206,2.428159,13818878.959554
2,2,1,61,write,close,1562015693.933207,1562015693.933214,0.000008,0.000000
2,2,1,61,write,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,61,read,create/open,1562015694.022284,1562015694.061205,0.038921,0.000000
2,2,1,61,read,write/read,1562015694.061205,1562015694.262729,0.201523,166503979.124907
2,2,1,61,read,close,1562015694.262730,1562015694.563258,0.300529,0.000000
2,2,1,61,read,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,61,write,create/open,1562015694.789693,1562015694.797694,0.008001,0.000000
2,4,1,61,write,write/read,1562015694.797695,1562015697.329569,2.531874,13252802.650093
2,4,1,61,write,close,1562015697.329570,1562015697.329580,0.000010,0.000000
2,4,1,61,write,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,61,read,create/open,1562015697.438917,1562015697.449958,0.011040,0.000000
2,4,1,61,read,write/read,1562015697.449958,1562015697.665145,0.215187,155931794.250705
2,4,1,61,read,close,1562015697.665146,1562015697.779317,0.114172,0.000000
2,4,1,61,read,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,61,write,create/open,1562015701.629358,1562015701.637413,0.008055,0.000000
3,2,1,61,write,write/read,1562015701.637413,1562015703.976703,2.339290,14343855.102191
3,2,1,61,write,close,1562015703.976703,1562015703.976712,0.000009,0.000000
3,2,1,61,write,remove,0.000000,0.000000,0.000000,0.000000
