exp_repl_id,run_id,run_rept_id,task_id,test,action,start_time,stop_time,latency,throughput
1,1,1,1,write,create/open,1562017056.319426,1562017056.508656,0.189230,0.000000
1,1,1,1,write,write/read,1562017056.508657,1562017058.857569,2.348913,14285091.043485
1,1,1,1,write,close,1562017058.857570,1562017058.857591,0.000021,0.000000
1,1,1,1,write,remove,0.000000,0.000000,0.000000,0.000000
1,1,1,1,read,create/open,1562017058.991751,1562017059.008153,0.016402,0.000000
1,1,1,1,read,write/read,1562017059.008153,1562017059.118070,0.109916,305272162.897140
1,1,1,1,read,close,1562017059.118071,1562017059.249069,0.130998,0.000000
1,1,1,1,read,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,1,write,create/open,1562017061.109413,1562017061.117759,0.008346,0.000000
1,2,1,1,write,write/read,1562017061.117760,1562017064.015103,2.897343,11581104.799458
1,2,1,1,write,close,1562017064.015104,1562017064.015114,0.000010,0.000000
1,2,1,1,write,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,1,read,create/open,1562017064.399327,1562017064.425045,0.025718,0.000000
1,2,1,1,read,write/read,1562017064.425045,1562017064.635006,0.209961,159812918.068957
1,2,1,1,read,close,1562017064.635006,1562017064.748199,0.113192,0.000000
1,2,1,1,read,remove,0.000000,0.000000,0.000000,0.000000
1,3,1,1,write,create/open,1562017059.393395,1562017059.407874,0.014479,0.000000
1,3,1,1,write,write/read,1562017059.407874,1562017060.632124,1.224250,27408162.487953
1,3,1,1,write,close,1562017060.632124,1562017060.632133,0.000008,0.000000
1,3,1,1,write,remove,0.000000,0.000000,0.000000,0.000000
1,3,1,1,read,create/open,1562017060.699841,1562017060.710408,0.010567,0.000000
1,3,1,1,read,write/read,1562017060.710408,1562017060.821463,0.111055,302143397.993821
1,3,1,1,read,close,1562017060.821463,1562017060.882175,0.060712,0.000000
1,3,1,1,read,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,1,write,create/open,1562017065.199495,1562017065.207388,0.007893,0.000000
1,4,1,1,write,write/read,1562017065.207388,1562017067.722816,2.515427,13339455.813219
1,4,1,1,write,close,1562017067.722816,1562017067.722824,0.000008,0.000000
1,4,1,1,write,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,1,read,create/open,1562017067.781912,1562017067.801716,0.019804,0.000000
1,4,1,1,read,write/read,1562017067.801717,1562017068.015890,0.214174,156669351.364985
1,4,1,1,read,close,1562017068.015891,1562017068.089209,0.073318,0.000000
1,4,1,1,read,remove,0.000000,0.000000,0.000000,0.000000
2,1,1,1,write,create/open,1562017068.592513,1562017068.600636,0.008123,0.000000
2,1,1,1,write,write/read,1562017068.600636,1562017069.972409,1.371773,24460634.318519
2,1,1,1,write,close,1562017069.972409,1562017069.972418,0.000008,0.000000
2,1,1,1,write,remove,0.000000,0.000000,0.000000,0.000000
2,1,1,1,read,create/open,1562017069.973074,1562017069.983325,0.010251,0.000000
2,1,1,1,read,write/read,1562017069.983325,1562017070.093554,0.110228,304409163.055238
2,1,1,1,read,close,1562017070.093554,1562017070.372199,0.278645,0.000000
2,1,1,1,read,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,1,write,create/open,1562017070.391485,1562017070.397308,0.005823,0.000000
2,2,1,1,write,write/read,1562017070.397308,1562017072.536990,2.139681,15681976.275749
2,2,1,1,write,close,1562017072.536990,1562017072.536998,0.000007,0.000000
2,2,1,1,write,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,1,read,create/open,1562017072.905899,1562017072.930597,0.024698,0.000000
2,2,1,1,read,write/read,1562017072.930598,1562017073.170815,0.240217,139683714.413790
2,2,1,1,read,close,1562017073.170815,1562017073.563470,0.392655,0.000000
2,2,1,1,read,remove,0.000000,0.000000,0.000000,0.000000
2,3,1,1,write,create/open,1562017077.057423,1562017077.065720,0.008297,0.000000
2,3,1,1,write,write/read,1562017077.065720,1562017078.304835,1.239115,27079347.397117
2,3,1,1,write,close,1562017078.304836,1562017078.304844,0.000008,0.000000
2,3,1,1,write,remove,0.000000,0.000000,0.000000,0.000000
2,3,1,1,read,create/open,1562017078.397148,1562017078.402489,0.005341,0.000000
2,3,1,1,read,write/read,1562017078.402489,1562017078.507541,0.105052,319406403.573421
2,3,1,1,read,close,1562017078.507542,1562017078.520981,0.013438,0.000000
