exp_repl_id,run_id,run_rept_id,task_id,test,action,start_time,stop_time,latency,throughput
1,1,1,2,write,create/open,1562018226.517820,1562018226.525545,0.007725,0.000000
1,1,1,2,write,write/read,1562018226.525546,1562018227.822293,1.296748,25875837.220783
1,1,1,2,write,close,1562018227.822294,1562018227.822301,0.000007,0.000000
1,1,1,2,write,remove,0.000000,0.000000,0.000000,0.000000
1,1,1,2,read,create/open,1562018228.063903,1562018228.074395,0.010492,0.000000
1,1,1,2,read,write/read,1562018228.074395,1562018228.190083,0.115687,290044635.511478
1,1,1,2,read,close,1562018228.190083,1562018228.363169,0.173086,0.000000
1,1,1,2,read,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,2,write,create/open,1562018221.200314,1562018221.207125,0.006811,0.000000
1,2,1,2,write,write/read,1562018221.207125,1562018224.341136,3.134011,10706545.598178
1,2,1,2,write,close,1562018224.341137,1562018224.341145,0.000008,0.000000
1,2,1,2,write,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,2,read,create/open,1562018224.673113,1562018224.689558,0.016445,0.000000
1,2,1,2,read,write/read,1562018224.689559,1562018224.899765,0.210207,159626037.355618
1,2,1,2,read,close,1562018224.899766,1562018225.013669,0.113903,0.000000
1,2,1,2,read,remove,0.000000,0.000000,0.000000,0.000000
1,3,1,2,write,create/open,1562018217.559042,1562018217.768255,0.209213,0.000000
1,3,1,2,write,write/read,1562018217.768255,1562018220.222787,2.454532,13670400.922242
1,3,1,2,write,close,1562018220.222788,1562018220.222807,0.000019,0.000000
1,3,1,2,write,remove,0.000000,0.000000,0.000000,0.000000
1,3,1,2,read,create/open,1562018220.274037,1562018220.293777,0.019739,0.000000
1,3,1,2,read,write/read,1562018220.293777,1562018220.405313,0.111536,300839407.705867
1,3,1,2,read,close,1562018220.405314,1562018220.722656,0.317342,0.000000
1,3,1,2,read,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,2,write,create/open,1562018228.950181,1562018228.957544,0.007363,0.000000
1,4,1,2,write,write/read,1562018228.957545,1562018231.683205,2.725660,12310569.920748
1,4,1,2,write,close,1562018231.683206,1562018231.683214,0.000008,0.000000
1,4,1,2,write,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,2,read,create/open,1562018231.713451,1562018231.734523,0.021072,0.000000
1,4,1,2,read,write/read,1562018231.734524,1562018231.961620,0.227097,147754031.818316
1,4,1,2,read,close,1562018231.961621,1562018232.854412,0.892791,0.000000
1,4,1,2,read,remove,0.000000,0.000000,0.000000,0.000000
2,1,1,2,write,create/open,1562018238.329762,1562018238.336310,0.006548,0.000000
2,1,1,2,write,write/read,1562018238.336310,1562018239.470068,1.133759,29595747.833867
2,1,1,2,write,close,1562018239.470069,1562018239.470077,0.000008,0.000000
2,1,1,2,write,remove,0.000000,0.000000,0.000000,0.000000
2,1,1,2,read,create/open,1562018239.704034,1562018239.724550,0.020516,0.000000
2,1,1,2,read,write/read,1562018239.724550,1562018239.839406,0.114855,292145291.331238
2,1,1,2,read,close,1562018239.839406,1562018240.361456,0.522050,0.000000
2,1,1,2,read,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,2,write,create/open,1562018233.564621,1562018233.572287,0.007666,0.000000
2,2,1,2,write,write/read,1562018233.572288,1562018236.037049,2.464761,13613664.164173
2,2,1,2,write,close,1562018236.037050,1562018236.037061,0.000011,0.000000
2,2,1,2,write,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,2,read,create/open,1562018236.554356,1562018236.570925,0.016569,0.000000
2,2,1,2,read,write/read,1562018236.570925,1562018236.799882,0.228956,146553920.346021
2,2,1,2,read,close,1562018236.799883,1562018237.495262,0.695380,0.000000
2,2,1,2,read,remove,0.000000,0.000000,0.000000,0.000000
2,3,1,2,write,create/open,1562018240.587521,1562018240.593895,0.006375,0.000000
2,3,1,2,write,write/read,1562018240.593895,1562018241.819575,1.225679,27376189.945077
2,3,1,2,write,close,1562018241.819575,1562018241.819583,0.000008,0.000000
2,3,1,2,write,remove,0.000000,0.000000,0.000000,0.000000
2,3,1,2,read,create/open,1562018242.153669,1562018242.164858,0.011189,0.000000
2,3,1,2,read,write/read,1562018242.164858,1562018242.277149,0.112291,298817761.980479
2,3,1,2,read,close,1562018242.277150,1562018242.444403,0.167253,0.000000
2,3,1,2,read,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,2,write,create/open,1562018243.131393,1562018243.139766,0.008372,0.000000
2,4,1,2,write,write/read,1562018243.139766,1562018245.835900,2.696134,12445388.041490
2,4,1,2,write,close,1562018245.835901,1562018245.835909,0.000009,0.000000
2,4,1,2,write,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,2,read,create/open,1562018246.045297,1562018246.096538,0.051241,0.000000
2,4,1,2,read,write/read,1562018246.096538,1562018246.330342,0.233804,143515225.545766
2,4,1,2,read,close,1562018246.330343,1562018247.810361,1.480017,0.000000
2,4,1,2,read,remove,0.000000,0.000000,0.000000,0.000000
3,1,1,2,write,create/open,1562018250.135731,1562018250.146466,0.010735,0.000000
3,1,1,2,write,write/read,1562018250.146466,1562018251.459857,1.313390,25547947.977998
3,1,1,2,write,close,1562018251.459857,1562018251.459866,0.000009,0.000000
3,1,1,2,write,remove,0.000000,0.000000,0.000000,0.000000
3,1,1,2,read,create/open,1562018251.760458,1562018251.773252,0.012794,0.000000
3,1,1,2,read,write/read,1562018251.773253,1562018251.882262,0.109010,307811985.843388
3,1,1,2,read,close,1562018251.882263,1562018251.993029,0.110766,0.000000
3,1,1,2,read,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,2,write,create/open,1562018257.177209,1562018257.185096,0.007886,0.000000
3,2,1,2,write,write/read,1562018257.185096,1562018259.626762,2.441666,13742435.213459
3,2,1,2,write,close,1562018259.626762,1562018259.626770,0.000008,0.000000
3,2,1,2,write,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,2,read,create/open,1562018260.009187,1562018260.024744,0.015557,0.000000
3,2,1,2,read,write/read,1562018260.024745,1562018260.246945,0.222200,151009939.489072
