exp_repl_id,run_id,run_rept_id,task_id,test,action,start_time,stop_time,latency,throughput
1,2,1,54,write,create/open,1562019979.278813,1562019979.286606,0.007793,0.000000
1,2,1,54,write,write/read,1562019979.286607,1562019981.804547,2.517941,13326140.367396
1,2,1,54,write,close,1562019981.804548,1562019981.804556,0.000008,0.000000
1,2,1,54,write,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,54,read,create/open,1562019981.807516,1562019981.845018,0.037503,0.000000
1,2,1,54,read,write/read,1562019981.845019,1562019982.062939,0.217921,153975534.974785
1,2,1,54,read,close,1562019982.062940,1562019982.065099,0.002158,0.000000
1,2,1,54,read,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,54,write,create/open,1562019972.760543,1562019972.781232,0.020690,0.000000
1,4,1,54,write,write/read,1562019972.781233,1562019976.029945,3.248713,10328532.177051
1,4,1,54,write,close,1562019976.029946,1562019976.029965,0.000020,0.000000
1,4,1,54,write,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,54,read,create/open,1562019976.074487,1562019976.092498,0.018011,0.000000
1,4,1,54,read,write/read,1562019976.092499,1562019976.315345,0.222847,150571944.327109
1,4,1,54,read,close,1562019976.315346,1562019976.316703,0.001357,0.000000
1,4,1,54,read,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,54,write,create/open,1562019987.795193,1562019987.801398,0.006205,0.000000
2,2,1,54,write,write/read,1562019987.801398,1562019990.005718,2.204320,15222124.147791
2,2,1,54,write,close,1562019990.005719,1562019990.005728,0.000009,0.000000
2,2,1,54,write,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,54,read,create/open,1562019990.300419,1562019990.317532,0.017113,0.000000
2,2,1,54,read,write/read,1562019990.317533,1562019990.548504,0.230972,145275157.912732
2,2,1,54,read,close,1562019990.548505,1562019990.551204,0.002699,0.000000
2,2,1,54,read,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,54,write,create/open,1562019984.931689,1562019984.938219,0.006530,0.000000
2,4,1,54,write,write/read,1562019984.938219,1562019987.487375,2.549156,13162957.720499
2,4,1,54,write,close,1562019987.487376,1562019987.487384,0.000008,0.000000
2,4,1,54,write,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,54,read,create/open,1562019987.489777,1562019987.534685,0.044908,0.000000
2,4,1,54,read,write/read,1562019987.534685,1562019987.743223,0.208538,160903527.450728
2,4,1,54,read,close,1562019987.743224,1562019987.744398,0.001175,0.000000
2,4,1,54,read,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,54,write,create/open,1562019996.512608,1562019996.520661,0.008053,0.000000
3,2,1,54,write,write/read,1562019996.520661,1562019999.024056,2.503395,13403571.596086
3,2,1,54,write,close,1562019999.024057,1562019999.024064,0.000007,0.000000
3,2,1,54,write,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,54,read,create/open,1562019999.205110,1562019999.228549,0.023438,0.000000
3,2,1,54,read,write/read,1562019999.228549,1562019999.428617,0.200068,167714739.658949
3,2,1,54,read,close,1562019999.428618,1562019999.432999,0.004381,0.000000
3,2,1,54,read,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,54,write,create/open,1562019990.598260,1562019990.605658,0.007398,0.000000
3,4,1,54,write,write/read,1562019990.605658,1562019993.128874,2.523216,13298282.120741
3,4,1,54,write,close,1562019993.128875,1562019993.128884,0.000009,0.000000
3,4,1,54,write,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,54,read,create/open,1562019993.200866,1562019993.219420,0.018554,0.000000
3,4,1,54,read,write/read,1562019993.219420,1562019993.438978,0.219558,152827188.777988
3,4,1,54,read,close,1562019993.438979,1562019993.444015,0.005036,0.000000
3,4,1,54,read,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,54,write,create/open,1562020003.986590,1562020003.992381,0.005790,0.000000
4,2,1,54,write,write/read,1562020003.992381,1562020008.792072,4.799691,6990957.112357
4,2,1,54,write,close,1562020008.792073,1562020008.792080,0.000007,0.000000
4,2,1,54,write,remove,0.000000,0.000000,0.000000,0.000000
