exp_repl_id,run_id,run_rept_id,task_id,test,action,start_time,stop_time,latency,throughput
1,2,1,43,write,create/open,1562021244.655609,1562021244.663363,0.007754,0.000000
1,2,1,43,write,write/read,1562021244.663364,1562021246.833051,2.169687,15465100.637617
1,2,1,43,write,close,1562021246.833051,1562021246.833060,0.000008,0.000000
1,2,1,43,write,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,43,read,create/open,1562021246.834165,1562021246.868574,0.034410,0.000000
1,2,1,43,read,write/read,1562021246.868575,1562021247.094342,0.225768,148623762.437803
1,2,1,43,read,close,1562021247.094343,1562021247.095669,0.001326,0.000000
1,2,1,43,read,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,43,write,create/open,1562021241.653780,1562021241.659626,0.005847,0.000000
1,4,1,43,write,write/read,1562021241.659627,1562021244.362917,2.703290,12412440.492630
1,4,1,43,write,close,1562021244.362918,1562021244.362939,0.000021,0.000000
1,4,1,43,write,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,43,read,create/open,1562021244.365217,1562021244.395387,0.030170,0.000000
1,4,1,43,read,write/read,1562021244.395388,1562021244.620634,0.225247,148967495.583849
1,4,1,43,read,close,1562021244.620635,1562021244.621581,0.000946,0.000000
1,4,1,43,read,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,43,write,create/open,1562021249.790641,1562021249.797831,0.007190,0.000000
2,2,1,43,write,write/read,1562021249.797831,1562021252.113053,2.315222,14492966.589926
2,2,1,43,write,close,1562021252.113054,1562021252.113061,0.000007,0.000000
2,2,1,43,write,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,43,read,create/open,1562021252.114881,1562021252.147794,0.032913,0.000000
2,2,1,43,read,write/read,1562021252.147794,1562021252.376821,0.229027,146508608.971317
2,2,1,43,read,close,1562021252.376822,1562021252.378991,0.002170,0.000000
2,2,1,43,read,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,43,write,create/open,1562021253.872684,1562021253.877046,0.004361,0.000000
2,4,1,43,write,write/read,1562021253.877046,1562021256.363170,2.486124,13496683.294907
2,4,1,43,write,close,1562021256.363171,1562021256.363179,0.000008,0.000000
2,4,1,43,write,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,43,read,create/open,1562021256.417809,1562021256.437124,0.019315,0.000000
2,4,1,43,read,write/read,1562021256.437125,1562021256.667701,0.230576,145524667.828205
2,4,1,43,read,close,1562021256.667701,1562021256.671645,0.003944,0.000000
2,4,1,43,read,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,43,write,create/open,1562021258.248344,1562021258.255462,0.007117,0.000000
3,2,1,43,write,write/read,1562021258.255462,1562021260.697735,2.442272,13739020.946507
3,2,1,43,write,close,1562021260.697735,1562021260.697743,0.000008,0.000000
3,2,1,43,write,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,43,read,create/open,1562021260.700248,1562021260.733348,0.033099,0.000000
3,2,1,43,read,write/read,1562021260.733348,1562021260.950127,0.216778,154786873.736935
3,2,1,43,read,close,1562021260.950127,1562021260.953639,0.003511,0.000000
3,2,1,43,read,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,43,write,create/open,1562021261.186306,1562021261.193737,0.007431,0.000000
3,4,1,43,write,write/read,1562021261.193737,1562021263.628116,2.434379,13783568.873467
3,4,1,43,write,close,1562021263.628117,1562021263.628125,0.000008,0.000000
3,4,1,43,write,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,43,read,create/open,1562021263.630554,1562021263.647932,0.017378,0.000000
3,4,1,43,read,write/read,1562021263.647933,1562021263.881925,0.233993,143399557.745312
3,4,1,43,read,close,1562021263.881926,1562021263.886317,0.004391,0.000000
3,4,1,43,read,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,43,write,create/open,1562021271.218635,1562021271.224682,0.006046,0.000000
4,2,1,43,write,write/read,1562021271.224682,1562021273.626481,2.401799,13970541.460493
4,2,1,43,write,close,1562021273.626482,1562021273.626519,0.000038,0.000000
4,2,1,43,write,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,43,read,create/open,1562021273.714103,1562021273.741566,0.027463,0.000000
4,2,1,43,read,write/read,1562021273.741567,1562021273.950247,0.208680,160793778.761598
4,2,1,43,read,close,1562021273.950248,1562021273.952586,0.002338,0.000000
4,2,1,43,read,remove,0.000000,0.000000,0.000000,0.000000
4,4,1,43,write,create/open,1562021265.541950,1562021265.549256,0.007306,0.000000
