exp_repl_id,run_id,run_rept_id,task_id,test,action,start_time,stop_time,latency,throughput
1,1,1,7,write,create/open,1562023993.830140,1562023993.848347,0.018207,0.000000
1,1,1,7,write,write/read,1562023993.848348,1562023994.315750,0.467402,71789164.588206
1,1,1,7,write,close,1562023994.315751,1562023994.315772,0.000020,0.000000
1,1,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
1,1,1,7,read,create/open,1562023994.329867,1562023994.346615,0.016748,0.000000
1,1,1,7,read,write/read,1562023994.346616,1562023994.461413,0.114797,292293337.726593
1,1,1,7,read,close,1562023994.461414,1562023994.462321,0.000907,0.000000
1,1,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,7,write,create/open,1562023994.485190,1562023994.490405,0.005215,0.000000
1,2,1,7,write,write/read,1562023994.490405,1562023995.397344,0.906940,36997431.205035
1,2,1,7,write,close,1562023995.397345,1562023995.397354,0.000009,0.000000
1,2,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,7,read,create/open,1562023995.410667,1562023995.473456,0.062789,0.000000
1,2,1,7,read,write/read,1562023995.473456,1562023995.668653,0.195197,171900673.929270
1,2,1,7,read,close,1562023995.668654,1562023995.669960,0.001306,0.000000
1,2,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
1,3,1,7,write,create/open,1562023995.699076,1562023995.704179,0.005103,0.000000
1,3,1,7,write,write/read,1562023995.704180,1562023996.143929,0.439749,76303558.667244
1,3,1,7,write,close,1562023996.143930,1562023996.143938,0.000008,0.000000
1,3,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
1,3,1,7,read,create/open,1562023996.167006,1562023996.182315,0.015310,0.000000
1,3,1,7,read,write/read,1562023996.182316,1562023996.293633,0.111317,301430908.582448
1,3,1,7,read,close,1562023996.293633,1562023996.295366,0.001732,0.000000
1,3,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,7,write,create/open,1562023996.323645,1562023996.332028,0.008383,0.000000
1,4,1,7,write,write/read,1562023996.332028,1562023997.183395,0.851367,39412440.135464
1,4,1,7,write,close,1562023997.183396,1562023997.183406,0.000010,0.000000
1,4,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,7,read,create/open,1562023997.224341,1562023997.239613,0.015272,0.000000
1,4,1,7,read,write/read,1562023997.239613,1562023997.427388,0.187775,178695210.104989
1,4,1,7,read,close,1562023997.427389,1562023997.431252,0.003863,0.000000
1,4,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
2,1,1,7,write,create/open,1562023999.507832,1562023999.516506,0.008674,0.000000
2,1,1,7,write,write/read,1562023999.516506,1562023999.969967,0.453461,73996301.883027
2,1,1,7,write,close,1562023999.969968,1562023999.969976,0.000008,0.000000
2,1,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
2,1,1,7,read,create/open,1562023999.971518,1562023999.987826,0.016308,0.000000
2,1,1,7,read,write/read,1562023999.987827,1562024000.091383,0.103557,324019367.732694
2,1,1,7,read,close,1562024000.091384,1562024000.093621,0.002237,0.000000
2,1,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,7,write,create/open,1562024000.127980,1562024000.134274,0.006293,0.000000
2,2,1,7,write,write/read,1562024000.134274,1562024001.035042,0.900768,37250913.054152
2,2,1,7,write,close,1562024001.035043,1562024001.035052,0.000009,0.000000
2,2,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,7,read,create/open,1562024001.037744,1562024001.072980,0.035237,0.000000
2,2,1,7,read,write/read,1562024001.072981,1562024001.281253,0.208272,161108903.681311
2,2,1,7,read,close,1562024001.281254,1562024001.287732,0.006478,0.000000
2,2,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
2,3,1,7,write,create/open,1562023997.518641,1562023997.525378,0.006737,0.000000
2,3,1,7,write,write/read,1562023997.525378,1562023997.959241,0.433863,77338828.782893
2,3,1,7,write,close,1562023997.959242,1562023997.959250,0.000008,0.000000
2,3,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
2,3,1,7,read,create/open,1562023997.975776,1562023997.992715,0.016939,0.000000
2,3,1,7,read,write/read,1562023997.992716,1562023998.096866,0.104151,322172444.207884
2,3,1,7,read,close,1562023998.096867,1562023998.099016,0.002149,0.000000
2,3,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,7,write,create/open,1562023998.130715,1562023998.138900,0.008185,0.000000
2,4,1,7,write,write/read,1562023998.138900,1562023999.033704,0.894804,37499177.570681
2,4,1,7,write,close,1562023999.033705,1562023999.033714,0.000009,0.000000
2,4,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,7,read,create/open,1562023999.040171,1562023999.075701,0.035530,0.000000
2,4,1,7,read,write/read,1562023999.075701,1562023999.264703,0.189002,177535211.680305
2,4,1,7,read,close,1562023999.264704,1562023999.267663,0.002959,0.000000
2,4,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
3,1,1,7,write,create/open,1562024001.505358,1562024001.510196,0.004838,0.000000
3,1,1,7,write,write/read,1562024001.510196,1562024001.962042,0.451846,74260750.089874
3,1,1,7,write,close,1562024001.962043,1562024001.962051,0.000008,0.000000
3,1,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
3,1,1,7,read,create/open,1562024001.967901,1562024001.989600,0.021698,0.000000
3,1,1,7,read,write/read,1562024001.989600,1562024002.102014,0.112414,298490739.825127
3,1,1,7,read,close,1562024002.102014,1562024002.102770,0.000756,0.000000
3,1,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,7,write,create/open,1562024002.732081,1562024002.774075,0.041994,0.000000
3,2,1,7,write,write/read,1562024002.774076,1562024003.633227,0.859151,39055320.669310
3,2,1,7,write,close,1562024003.633228,1562024003.633238,0.000010,0.000000
3,2,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,7,read,create/open,1562024003.634088,1562024003.664202,0.030114,0.000000
3,2,1,7,read,write/read,1562024003.664202,1562024003.901551,0.237349,141371681.719522
3,2,1,7,read,close,1562024003.901553,1562024003.902685,0.001132,0.000000
3,2,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
3,3,1,7,write,create/open,1562024002.122267,1562024002.127102,0.004836,0.000000
3,3,1,7,write,write/read,1562024002.127103,1562024002.566453,0.439350,76372874.043465
3,3,1,7,write,close,1562024002.566453,1562024002.566461,0.000008,0.000000
3,3,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
3,3,1,7,read,create/open,1562024002.579904,1562024002.590730,0.010825,0.000000
3,3,1,7,read,write/read,1562024002.590730,1562024002.709483,0.118753,282556603.388427
3,3,1,7,read,close,1562024002.709484,1562024002.711027,0.001543,0.000000
3,3,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,7,write,create/open,1562024004.114993,1562024004.121185,0.006191,0.000000
3,4,1,7,write,write/read,1562024004.121185,1562024005.033490,0.912305,36779835.372497
3,4,1,7,write,close,1562024005.033491,1562024005.033500,0.000009,0.000000
3,4,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,7,read,create/open,1562024005.036000,1562024005.052510,0.016510,0.000000
3,4,1,7,read,write/read,1562024005.052510,1562024005.293470,0.240959,139253464.187482
3,4,1,7,read,close,1562024005.293471,1562024005.297068,0.003597,0.000000
3,4,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
4,1,1,7,write,create/open,1562024008.924849,1562024008.930929,0.006080,0.000000
4,1,1,7,write,write/read,1562024008.930930,1562024009.376144,0.445214,75366928.116494
4,1,1,7,write,close,1562024009.376145,1562024009.376152,0.000007,0.000000
4,1,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
4,1,1,7,read,create/open,1562024009.393450,1562024009.402593,0.009143,0.000000
4,1,1,7,read,write/read,1562024009.402593,1562024009.516046,0.113453,295756464.887125
4,1,1,7,read,close,1562024009.516047,1562024009.518416,0.002369,0.000000
4,1,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,7,write,create/open,1562024007.534539,1562024007.540894,0.006355,0.000000
4,2,1,7,write,write/read,1562024007.540894,1562024008.406002,0.865108,38786407.581296
4,2,1,7,write,close,1562024008.406003,1562024008.406013,0.000010,0.000000
4,2,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,7,read,create/open,1562024008.443011,1562024008.463438,0.020428,0.000000
4,2,1,7,read,write/read,1562024008.463439,1562024008.689392,0.225953,148501910.759382
4,2,1,7,read,close,1562024008.689393,1562024008.898396,0.209003,0.000000
4,2,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
4,3,1,7,write,create/open,1562024005.510732,1562024005.515852,0.005120,0.000000
4,3,1,7,write,write/read,1562024005.515852,1562024005.947031,0.431179,77820268.331179
4,3,1,7,write,close,1562024005.947032,1562024005.947041,0.000009,0.000000
4,3,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
4,3,1,7,read,create/open,1562024005.987365,1562024005.997503,0.010138,0.000000
4,3,1,7,read,write/read,1562024005.997503,1562024006.101620,0.104117,322275728.488794
4,3,1,7,read,close,1562024006.101621,1562024006.102488,0.000867,0.000000
4,3,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
4,4,1,7,write,create/open,1562024006.148705,1562024006.159103,0.010397,0.000000
4,4,1,7,write,write/read,1562024006.159103,1562024007.028249,0.869146,38606214.618429
4,4,1,7,write,close,1562024007.028250,1562024007.028259,0.000009,0.000000
4,4,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
4,4,1,7,read,create/open,1562024007.057022,1562024007.074641,0.017619,0.000000
4,4,1,7,read,write/read,1562024007.074642,1562024007.334885,0.260243,128934797.034766
4,4,1,7,read,close,1562024007.334887,1562024007.338888,0.004001,0.000000
4,4,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
5,1,1,7,write,create/open,1562024009.983553,1562024009.990753,0.007200,0.000000
5,1,1,7,write,write/read,1562024009.990753,1562024010.442826,0.452073,74223465.642333
5,1,1,7,write,close,1562024010.442827,1562024010.442835,0.000008,0.000000
5,1,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
5,1,1,7,read,create/open,1562024010.445123,1562024010.455046,0.009923,0.000000
5,1,1,7,read,write/read,1562024010.455047,1562024010.571638,0.116591,287796130.930412
5,1,1,7,read,close,1562024010.571638,1562024010.573234,0.001596,0.000000
5,1,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
5,2,1,7,write,create/open,1562024010.600495,1562024010.605466,0.004972,0.000000
5,2,1,7,write,write/read,1562024010.605467,1562024011.475106,0.869639,38584337.055395
5,2,1,7,write,close,1562024011.475106,1562024011.475115,0.000009,0.000000
5,2,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
5,2,1,7,read,create/open,1562024011.514285,1562024011.537796,0.023512,0.000000
5,2,1,7,read,write/read,1562024011.537797,1562024011.768015,0.230218,145750730.480951
5,2,1,7,read,close,1562024011.768016,1562024011.771796,0.003780,0.000000
5,2,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
5,3,1,7,write,create/open,1562024011.808004,1562024011.813484,0.005481,0.000000
5,3,1,7,write,write/read,1562024011.813485,1562024012.250245,0.436761,76825673.112952
5,3,1,7,write,close,1562024012.250246,1562024012.250253,0.000008,0.000000
5,3,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
5,3,1,7,read,create/open,1562024012.266988,1562024012.280947,0.013959,0.000000
5,3,1,7,read,write/read,1562024012.280948,1562024012.382923,0.101975,329046553.074908
5,3,1,7,read,close,1562024012.382923,1562024012.383724,0.000801,0.000000
5,3,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
5,4,1,7,write,create/open,1562024012.611905,1562024012.618886,0.006982,0.000000
5,4,1,7,write,write/read,1562024012.618887,1562024013.493146,0.874259,38380435.706531
5,4,1,7,write,close,1562024013.493146,1562024013.493155,0.000009,0.000000
5,4,1,7,write,remove,0.000000,0.000000,0.000000,0.000000
5,4,1,7,read,create/open,1562024013.510600,1562024013.526599,0.016000,0.000000
5,4,1,7,read,write/read,1562024013.526600,1562024013.747874,0.221275,151641579.405650
5,4,1,7,read,close,1562024013.747875,1562024013.752038,0.004163,0.000000
5,4,1,7,read,remove,0.000000,0.000000,0.000000,0.000000
