exp_repl_id,run_id,run_rept_id,task_id,test,action,start_time,stop_time,latency,throughput
1,1,1,31,write,create/open,1562025066.181301,1562025066.205721,0.024420,0.000000
1,1,1,31,write,write/read,1562025066.205721,1562025066.663562,0.457841,73288445.930881
1,1,1,31,write,close,1562025066.663563,1562025066.663571,0.000009,0.000000
1,1,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
1,1,1,31,read,create/open,1562025066.664345,1562025066.680566,0.016221,0.000000
1,1,1,31,read,write/read,1562025066.680566,1562025066.829550,0.148984,225222142.953686
1,1,1,31,read,close,1562025066.829551,1562025066.830828,0.001277,0.000000
1,1,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,31,write,create/open,1562025068.122559,1562025068.136831,0.014271,0.000000
1,2,1,31,write,write/read,1562025068.136831,1562025069.084665,0.947834,35401159.942027
1,2,1,31,write,close,1562025069.084666,1562025069.084675,0.000009,0.000000
1,2,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,31,read,create/open,1562025069.085883,1562025069.110464,0.024581,0.000000
1,2,1,31,read,write/read,1562025069.110465,1562025069.326374,0.215909,155409891.634426
1,2,1,31,read,close,1562025069.326375,1562025069.329139,0.002764,0.000000
1,2,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
1,3,1,31,write,create/open,1562025065.502151,1562025065.528079,0.025927,0.000000
1,3,1,31,write,write/read,1562025065.528079,1562025066.019038,0.490959,68344715.430199
1,3,1,31,write,close,1562025066.019038,1562025066.019058,0.000020,0.000000
1,3,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
1,3,1,31,read,create/open,1562025066.020375,1562025066.034024,0.013649,0.000000
1,3,1,31,read,write/read,1562025066.034024,1562025066.159168,0.125144,268126053.034291
1,3,1,31,read,close,1562025066.159169,1562025066.160548,0.001379,0.000000
1,3,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,31,write,create/open,1562025066.857126,1562025066.865256,0.008130,0.000000
1,4,1,31,write,write/read,1562025066.865256,1562025067.811404,0.946148,35464255.997162
1,4,1,31,write,close,1562025067.811405,1562025067.811413,0.000008,0.000000
1,4,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,31,read,create/open,1562025067.825301,1562025067.843239,0.017937,0.000000
1,4,1,31,read,write/read,1562025067.843239,1562025068.093852,0.250613,133889444.916199
1,4,1,31,read,close,1562025068.093854,1562025068.098005,0.004152,0.000000
1,4,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
2,1,1,31,write,create/open,1562025072.731400,1562025072.739544,0.008143,0.000000
2,1,1,31,write,write/read,1562025072.739544,1562025073.206928,0.467384,71792020.993867
2,1,1,31,write,close,1562025073.206928,1562025073.206937,0.000008,0.000000
2,1,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
2,1,1,31,read,create/open,1562025073.221225,1562025073.240465,0.019240,0.000000
2,1,1,31,read,write/read,1562025073.240465,1562025073.352755,0.112290,298818396.440036
2,1,1,31,read,close,1562025073.352756,1562025073.353607,0.000852,0.000000
2,1,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,31,write,create/open,1562025069.375206,1562025069.382648,0.007442,0.000000
2,2,1,31,write,write/read,1562025069.382648,1562025070.333605,0.950957,35284925.304719
2,2,1,31,write,close,1562025070.333606,1562025070.333616,0.000010,0.000000
2,2,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,31,read,create/open,1562025070.348839,1562025070.389576,0.040736,0.000000
2,2,1,31,read,write/read,1562025070.389576,1562025070.603108,0.213532,157140084.673743
2,2,1,31,read,close,1562025070.603110,1562025070.604924,0.001814,0.000000
2,2,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
2,3,1,31,write,create/open,1562025070.642106,1562025070.648438,0.006332,0.000000
2,3,1,31,write,write/read,1562025070.648438,1562025071.114528,0.466090,71991320.556016
2,3,1,31,write,close,1562025071.114528,1562025071.114537,0.000008,0.000000
2,3,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
2,3,1,31,read,create/open,1562025071.127077,1562025071.138690,0.011613,0.000000
2,3,1,31,read,write/read,1562025071.138690,1562025071.253467,0.114777,292345553.782505
2,3,1,31,read,close,1562025071.253468,1562025071.256833,0.003366,0.000000
2,3,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,31,write,create/open,1562025071.282747,1562025071.290409,0.007662,0.000000
2,4,1,31,write,write/read,1562025071.290409,1562025072.239230,0.948821,35364358.993932
2,4,1,31,write,close,1562025072.239231,1562025072.239240,0.000009,0.000000
2,4,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,31,read,create/open,1562025072.244792,1562025072.268693,0.023901,0.000000
2,4,1,31,read,write/read,1562025072.268693,1562025072.502541,0.233848,143488448.897593
2,4,1,31,read,close,1562025072.502542,1562025072.506433,0.003890,0.000000
2,4,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
3,1,1,31,write,create/open,1562025075.843674,1562025075.850930,0.007257,0.000000
3,1,1,31,write,write/read,1562025075.850930,1562025076.328511,0.477581,70259174.994260
3,1,1,31,write,close,1562025076.328512,1562025076.328518,0.000006,0.000000
3,1,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
3,1,1,31,read,create/open,1562025076.330257,1562025076.349761,0.019504,0.000000
3,1,1,31,read,write/read,1562025076.349761,1562025076.463893,0.114132,293995664.051272
3,1,1,31,read,close,1562025076.463893,1562025076.465093,0.001199,0.000000
3,1,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,31,write,create/open,1562025073.566967,1562025073.574324,0.007357,0.000000
3,2,1,31,write,write/read,1562025073.574324,1562025074.528537,0.954213,35164512.930155
3,2,1,31,write,close,1562025074.528537,1562025074.528545,0.000007,0.000000
3,2,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,31,read,create/open,1562025074.536234,1562025074.569136,0.032902,0.000000
3,2,1,31,read,write/read,1562025074.569136,1562025074.794169,0.225033,149108751.904765
3,2,1,31,read,close,1562025074.794170,1562025074.798682,0.004512,0.000000
3,2,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
3,3,1,31,write,create/open,1562025075.008610,1562025075.015963,0.007353,0.000000
3,3,1,31,write,write/read,1562025075.015963,1562025075.481668,0.465705,72050843.162127
3,3,1,31,write,close,1562025075.481668,1562025075.481674,0.000006,0.000000
3,3,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
3,3,1,31,read,create/open,1562025075.496699,1562025075.512301,0.015603,0.000000
3,3,1,31,read,write/read,1562025075.512301,1562025075.623238,0.110937,302464175.720612
3,3,1,31,read,close,1562025075.623239,1562025075.625173,0.001934,0.000000
3,3,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,31,write,create/open,1562025076.483990,1562025076.491320,0.007329,0.000000
3,4,1,31,write,write/read,1562025076.491320,1562025077.393395,0.902075,37196940.449561
3,4,1,31,write,close,1562025077.393396,1562025077.393402,0.000006,0.000000
3,4,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,31,read,create/open,1562025077.438061,1562025077.447306,0.009244,0.000000
3,4,1,31,read,write/read,1562025077.447306,1562025077.660838,0.213532,157140260.128300
3,4,1,31,read,close,1562025077.660838,1562025077.667078,0.006240,0.000000
3,4,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
4,1,1,31,write,create/open,1562025079.195459,1562025079.201751,0.006292,0.000000
4,1,1,31,write,write/read,1562025079.201751,1562025079.685554,0.483804,69355460.894003
4,1,1,31,write,close,1562025079.685555,1562025079.685560,0.000006,0.000000
4,1,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
4,1,1,31,read,create/open,1562025079.690968,1562025079.703562,0.012594,0.000000
4,1,1,31,read,write/read,1562025079.703562,1562025079.817582,0.114020,294285827.346713
4,1,1,31,read,close,1562025079.817583,1562025079.818580,0.000997,0.000000
4,1,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,31,write,create/open,1562025077.921599,1562025077.929083,0.007484,0.000000
4,2,1,31,write,write/read,1562025077.929083,1562025078.878748,0.949665,35332902.778889
4,2,1,31,write,close,1562025078.878748,1562025078.878756,0.000008,0.000000
4,2,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,31,read,create/open,1562025078.894450,1562025078.923554,0.029105,0.000000
4,2,1,31,read,write/read,1562025078.923555,1562025079.140007,0.216453,155019599.033922
4,2,1,31,read,close,1562025079.140008,1562025079.144273,0.004265,0.000000
4,2,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
4,3,1,31,write,create/open,1562025079.849193,1562025079.855984,0.006792,0.000000
4,3,1,31,write,write/read,1562025079.855984,1562025080.334584,0.478600,70109619.025745
4,3,1,31,write,close,1562025080.334584,1562025080.334590,0.000006,0.000000
4,3,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
4,3,1,31,read,create/open,1562025080.344138,1562025080.360605,0.016467,0.000000
4,3,1,31,read,write/read,1562025080.360605,1562025080.480892,0.120287,278952686.519150
4,3,1,31,read,close,1562025080.480893,1562025080.482668,0.001775,0.000000
4,3,1,31,read,remove,0.000000,0.000000,0.000000,0.000000
4,4,1,31,write,create/open,1562025080.502662,1562025080.510441,0.007779,0.000000
4,4,1,31,write,write/read,1562025080.510442,1562025081.476835,0.966394,34721277.056096
4,4,1,31,write,close,1562025081.476836,1562025081.476844,0.000008,0.000000
4,4,1,31,write,remove,0.000000,0.000000,0.000000,0.000000
4,4,1,31,read,create/open,1562025081.488683,1562025081.511409,0.022726,0.000000
4,4,1,31,read,write/read,1562025081.511409,1562025081.738976,0.227567,147448457.447598
