exp_repl_id,run_id,run_rept_id,task_id,test,action,start_time,stop_time,latency,throughput
1,1,1,14,write,create/open,1562026252.075382,1562026252.095156,0.019774,0.000000
1,1,1,14,write,write/read,1562026252.095156,1562026252.542929,0.447773,74936219.138483
1,1,1,14,write,close,1562026252.542930,1562026252.542938,0.000008,0.000000
1,1,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
1,1,1,14,read,create/open,1562026252.543739,1562026252.555372,0.011634,0.000000
1,1,1,14,read,write/read,1562026252.555373,1562026252.658678,0.103304,324811300.411567
1,1,1,14,read,close,1562026252.658678,1562026252.660695,0.002017,0.000000
1,1,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,14,write,create/open,1562026250.178812,1562026250.196063,0.017251,0.000000
1,2,1,14,write,write/read,1562026250.196063,1562026251.145608,0.949545,35337365.211515
1,2,1,14,write,close,1562026251.145609,1562026251.145632,0.000023,0.000000
1,2,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
1,2,1,14,read,create/open,1562026251.169323,1562026251.201291,0.031968,0.000000
1,2,1,14,read,write/read,1562026251.201292,1562026251.408059,0.206768,162280931.079910
1,2,1,14,read,close,1562026251.408060,1562026251.415665,0.007605,0.000000
1,2,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
1,3,1,14,write,create/open,1562026251.467844,1562026251.475156,0.007313,0.000000
1,3,1,14,write,write/read,1562026251.475157,1562026251.919357,0.444200,75539011.843277
1,3,1,14,write,close,1562026251.919357,1562026251.919365,0.000008,0.000000
1,3,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
1,3,1,14,read,create/open,1562026251.921708,1562026251.933310,0.011602,0.000000
1,3,1,14,read,write/read,1562026251.933310,1562026252.044511,0.111201,301744998.746447
1,3,1,14,read,close,1562026252.044512,1562026252.049079,0.004567,0.000000
1,3,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,14,write,create/open,1562026252.698248,1562026252.704272,0.006024,0.000000
1,4,1,14,write,write/read,1562026252.704272,1562026253.554204,0.849932,39478962.744347
1,4,1,14,write,close,1562026253.554204,1562026253.554215,0.000010,0.000000
1,4,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
1,4,1,14,read,create/open,1562026253.597914,1562026253.619028,0.021114,0.000000
1,4,1,14,read,write/read,1562026253.619029,1562026253.818437,0.199408,168269992.856502
1,4,1,14,read,close,1562026253.818438,1562026253.825763,0.007325,0.000000
1,4,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
2,1,1,14,write,create/open,1562026257.423340,1562026257.433968,0.010628,0.000000
2,1,1,14,write,write/read,1562026257.433968,1562026257.918237,0.484270,69288740.578270
2,1,1,14,write,close,1562026257.918238,1562026257.918246,0.000008,0.000000
2,1,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
2,1,1,14,read,create/open,1562026257.920559,1562026257.937554,0.016995,0.000000
2,1,1,14,read,write/read,1562026257.937555,1562026258.048523,0.110969,302377095.837520
2,1,1,14,read,close,1562026258.048524,1562026258.252872,0.204348,0.000000
2,1,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,14,write,create/open,1562026256.056007,1562026256.060884,0.004876,0.000000
2,2,1,14,write,write/read,1562026256.060884,1562026256.938626,0.877742,38228123.992183
2,2,1,14,write,close,1562026256.938627,1562026256.938636,0.000009,0.000000
2,2,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
2,2,1,14,read,create/open,1562026256.953873,1562026256.996668,0.042795,0.000000
2,2,1,14,read,write/read,1562026256.996669,1562026257.199216,0.202547,165662388.711271
2,2,1,14,read,close,1562026257.199216,1562026257.203836,0.004619,0.000000
2,2,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
2,3,1,14,write,create/open,1562026255.440258,1562026255.447083,0.006825,0.000000
2,3,1,14,write,write/read,1562026255.447083,1562026255.881229,0.434145,77288457.023429
2,3,1,14,write,close,1562026255.881229,1562026255.881238,0.000008,0.000000
2,3,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
2,3,1,14,read,create/open,1562026255.897921,1562026255.907328,0.009407,0.000000
2,3,1,14,read,write/read,1562026255.907328,1562026256.020946,0.113618,295326994.039064
2,3,1,14,read,close,1562026256.020947,1562026256.021828,0.000881,0.000000
2,3,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,14,write,create/open,1562026254.078354,1562026254.086135,0.007781,0.000000
2,4,1,14,write,write/read,1562026254.086135,1562026254.971704,0.885569,37890247.261652
2,4,1,14,write,close,1562026254.971706,1562026254.971716,0.000010,0.000000
2,4,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
2,4,1,14,read,create/open,1562026254.974574,1562026254.991585,0.017011,0.000000
2,4,1,14,read,write/read,1562026254.991586,1562026255.190282,0.198696,168872894.727131
2,4,1,14,read,close,1562026255.190283,1562026255.200792,0.010509,0.000000
2,4,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
3,1,1,14,write,create/open,1562026259.504709,1562026259.511299,0.006591,0.000000
3,1,1,14,write,write/read,1562026259.511300,1562026259.955084,0.443784,75609869.082741
3,1,1,14,write,close,1562026259.955084,1562026259.955092,0.000008,0.000000
3,1,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
3,1,1,14,read,create/open,1562026259.965126,1562026259.977126,0.012000,0.000000
3,1,1,14,read,write/read,1562026259.977126,1562026260.096882,0.119755,280191698.730470
3,1,1,14,read,close,1562026260.096882,1562026260.097695,0.000813,0.000000
3,1,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,14,write,create/open,1562026260.751595,1562026260.778214,0.026618,0.000000
3,2,1,14,write,write/read,1562026260.778214,1562026261.666070,0.887856,37792640.630077
3,2,1,14,write,close,1562026261.666071,1562026261.666080,0.000010,0.000000
3,2,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
3,2,1,14,read,create/open,1562026261.666955,1562026261.683792,0.016837,0.000000
3,2,1,14,read,write/read,1562026261.683793,1562026261.912195,0.228403,146909141.384908
3,2,1,14,read,close,1562026261.912196,1562026261.919877,0.007681,0.000000
3,2,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
3,3,1,14,write,create/open,1562026260.125796,1562026260.130251,0.004455,0.000000
3,3,1,14,write,write/read,1562026260.130251,1562026260.558151,0.427899,78416644.391571
3,3,1,14,write,close,1562026260.558151,1562026260.558160,0.000008,0.000000
3,3,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
3,3,1,14,read,create/open,1562026260.591620,1562026260.602732,0.011113,0.000000
3,3,1,14,read,write/read,1562026260.602733,1562026260.724303,0.121570,276008355.227029
3,3,1,14,read,close,1562026260.724304,1562026260.726541,0.002237,0.000000
3,3,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,14,write,create/open,1562026258.271725,1562026258.279510,0.007785,0.000000
3,4,1,14,write,write/read,1562026258.279510,1562026259.182003,0.902493,37179704.589989
3,4,1,14,write,close,1562026259.182004,1562026259.182016,0.000011,0.000000
3,4,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
3,4,1,14,read,create/open,1562026259.202271,1562026259.218696,0.016424,0.000000
3,4,1,14,read,write/read,1562026259.218696,1562026259.424347,0.205651,163161792.464476
3,4,1,14,read,close,1562026259.424348,1562026259.427457,0.003109,0.000000
3,4,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
4,1,1,14,write,create/open,1562026262.138439,1562026262.144468,0.006029,0.000000
4,1,1,14,write,write/read,1562026262.144468,1562026262.599146,0.454678,73798182.623258
4,1,1,14,write,close,1562026262.599147,1562026262.599155,0.000008,0.000000
4,1,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
4,1,1,14,read,create/open,1562026262.601104,1562026262.616161,0.015057,0.000000
4,1,1,14,read,write/read,1562026262.616161,1562026262.725558,0.109397,306721867.029596
4,1,1,14,read,close,1562026262.725559,1562026262.726442,0.000883,0.000000
4,1,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,14,write,create/open,1562026264.550422,1562026264.558509,0.008087,0.000000
4,2,1,14,write,write/read,1562026264.558509,1562026265.409661,0.851152,39422353.987160
4,2,1,14,write,close,1562026265.409662,1562026265.409673,0.000011,0.000000
4,2,1,14,write,remove,0.000000,0.000000,0.000000,0.000000
4,2,1,14,read,create/open,1562026265.462058,1562026265.477824,0.015766,0.000000
4,2,1,14,read,write/read,1562026265.477824,1562026265.662902,0.185078,181298961.003832
4,2,1,14,read,close,1562026265.662904,1562026265.669629,0.006726,0.000000
4,2,1,14,read,remove,0.000000,0.000000,0.000000,0.000000
4,3,1,14,write,create/open,1562026265.940295,1562026265.946923,0.006627,0.000000
